Symbol,Date
SCHD,2020-04-22
HD,2020-10-22
TXN,2020-10-29
AVGO,2020-11-05
BLOK,2021-02-23
JEPI,2021-03-10
MSFT,2021-04-07
NVDA,2021-04-07
TSM,2021-04-07
AAPL,2021-04-07
DIVO,2021-05-04
QQQM,2021-05-04
TSLA,2021-07-13
ARKK,2021-07-20
DPZ,2021-11-12
LOW,2021-11-12
NFLX,2021-11-29
SOXX,2021-12-28
IXN,2021-12-28
