Date,SCHD,BLOK,HD,JPM,AVGO,TXN,ABBV,STOR,FCPT,CTRE,O,NSA,NSP,MSM,NTAP,SAFT,COR,DTE,IRM,APAM
2018-01-25,48.64891815185547,19.834671020507812,191.0004119873047,105.63114166259766,217.54238891601562,100.83879852294922,93.0667495727539,21.497732162475586,21.045162200927734,13.46240234375,47.38328170776367,23.193740844726562,59.099365234375,79.61499786376953,57.02626037597656,71.00291442871094,95.1049575805664,95.64386749267578,28.444780349731445,28.468019485473633
2018-01-26,49.47378158569336,20.09090805053711,192.73025512695312,106.1971664428711,220.62135314941406,104.07955932617188,105.87953186035156,21.34170150756836,21.019052505493164,13.436809539794922,47.18309020996094,22.93760108947754,58.90810012817383,79.27752685546875,57.801944732666016,70.55941772460938,96.10199737548828,95.22865295410156,28.397138595581055,29.13743782043457
2018-01-29,49.12027359008789,20.223772048950195,190.58189392089844,106.08760833740234,215.94131469726562,103.12747192382812,105.10613250732422,21.203004837036133,20.57517433166504,13.32590103149414,46.1734504699707,22.319337844848633,58.86029052734375,77.34098815917969,57.30915069580078,69.40632629394531,92.78446960449219,94.22671508789062,27.06304931640625,28.996509552001953
2018-01-30,48.49482727050781,19.891613006591797,187.68951416015625,105.09247589111328,211.991455078125,101.15753173828125,99.5805435180664,20.85626792907715,20.418506622314453,13.138213157653809,45.65993881225586,22.178022384643555,57.9996223449707,76.44100189208984,56.86199951171875,69.98286437988281,92.0080337524414,94.09132385253906,26.943927764892578,27.833829879760742
2018-01-31,48.49482727050781,19.825180053710938,186.84315490722656,105.60374450683594,218.19338989257812,100.95500183105469,96.43536376953125,21.246347427368164,20.540361404418945,13.55624771118164,46.489376068115234,22.407665252685547,58.573394775390625,75.43658447265625,56.122825622558594,68.8741455078125,95.57259368896484,95.35501861572266,27.817445755004883,27.58719825744629
2018-02-01,48.340736389160156,19.5594539642334,185.9131622314453,106.69931030273438,210.0648956298828,101.3324203491211,99.9758529663086,20.691564559936523,20.070369720458984,13.09555721282959,45.090946197509766,21.992542266845703,58.23869705200195,75.13927459716797,56.7251091003418,69.31764221191406,92.53742218017578,94.07328033447266,27.49186134338379,27.939525604248047
2018-02-02,47.28925704956055,18.838193893432617,180.3980712890625,104.33470153808594,207.153076171875,99.10475158691406,98.97042083740234,20.55286979675293,19.965925216674805,13.112619400024414,44.79377365112305,21.709909439086914,57.33020782470703,73.4197006225586,54.954734802246094,69.22895812988281,92.14920043945312,93.22478485107422,26.729522705078125,26.81208038330078
2018-02-05,45.231632232666016,17.765790939331055,170.2979278564453,99.33161163330078,200.66085815429688,95.92889404296875,94.10655212402344,19.96341896057129,19.513341903686523,12.916399955749512,43.78864288330078,21.109310150146484,56.32609558105469,71.99740600585938,51.842891693115234,66.78974151611328,90.21693420410156,92.06941223144531,25.991004943847656,26.03696060180664
2018-02-06,45.9930419921875,18.08846092224121,177.67306518554688,102.35356140136719,211.46363830566406,97.45697784423828,95.558837890625,20.102109909057617,19.591672897338867,12.907867431640625,43.762428283691406,21.029817581176758,55.752315521240234,72.80899810791016,53.05659866333008,65.23751831054688,89.85519409179688,89.68643951416016,26.292766571044922,26.607728958129883
2018-02-07,45.89332962036133,18.0410099029541,177.90560913085938,103.04740905761719,208.82452392578125,93.87610626220703,97.6384506225586,19.946077346801758,19.522043228149414,12.856680870056152,42.7573127746582,21.197629928588867,54.987274169921875,73.16255950927734,52.59119415283203,66.12450408935547,90.40221405029297,89.60518646240234,26.348350524902344,25.64940071105957
2018-02-08,44.21640396118164,17.386178970336914,168.54019165039062,98.49166107177734,201.9539794921875,89.89939880371094,93.22142028808594,19.521329879760742,18.947608947753906,12.541022300720215,41.568626403808594,20.464548110961914,53.60063934326172,71.27423858642578,50.966819763183594,64.61663055419922,85.0289077758789,88.901123046875,25.46689796447754,24.099166870117188
2018-02-09,44.814659118652344,17.718341827392578,171.2372283935547,100.46369934082031,207.170654296875,92.50450134277344,95.644775390625,20.09344482421875,19.34797477722168,12.831086158752441,42.73980712890625,21.11813735961914,54.79601287841797,71.68402862548828,51.25884246826172,64.79402923583984,85.93769836425781,91.22091674804688,26.28482437133789,24.87428092956543
2018-02-12,45.43103790283203,17.936616897583008,171.1814727783203,102.01576232910156,215.00003051757812,93.83927917480469,96.18614959716797,20.318824768066406,19.574264526367188,12.592209815979004,42.54753875732422,20.95032501220703,58.621212005615234,71.08138275146484,52.68244552612305,64.83837127685547,85.93769836425781,91.39242553710938,26.443645477294922,25.226608276367188
2018-02-13,45.4672966003418,18.02202796936035,170.865234375,102.64570617675781,216.284423828125,92.95556640625,96.12600708007812,20.266813278198242,19.670005798339844,12.762834548950195,42.8184814453125,21.100479125976562,58.90810012817383,71.21798706054688,53.60414123535156,64.83837127685547,86.7141342163086,92.25896453857422,26.63422966003418,24.449499130249023
2018-02-14,45.73016357421875,18.392148971557617,171.76739501953125,105.01943969726562,217.86790466308594,94.52046966552734,97.17440032958984,20.29281997680664,19.29575538635254,12.592209815979004,42.040592193603516,20.844341278076172,61.34667205810547,71.17779541015625,55.338008880615234,65.32621765136719,86.37002563476562,91.37438201904297,26.356294631958008,25.072654724121094
2018-02-15,46.26497268676758,18.942584991455078,172.3068084716797,105.4576644897461,221.53627014160156,96.26028442382812,98.73839569091797,20.483524322509766,19.36537742614746,12.771366119384766,43.071937561035156,21.330114364624023,62.9245719909668,71.79653930664062,52.62769317626953,65.5923080444336,85.70829010009766,93.10746765136719,26.777170181274414,24.26622200012207
