Script,Poor Hist YoC,Don't Like,Slow Div Growth,Ave YoC,Slow Perf,Poor Perf,Dividend Cut,Portfolio
WSM,,,,,,,,
AMCR,,,,,,,,
AMP,,,,,,,,
CATY,,,,,,,,
CINF,,,,,,,,
DFS,,,,,,,,
EWBC,,,,,,,,
HFWA,,,,,,,,
HIG,,,,,,,,
HNI,,,,,,,,
HUN,,,,,,,,
K,,,,,,,,
LAZ,,,,,,,,
MCY,,,,,,,,
NP,,,,,,,,
NUS,,,,,,,,
OKE,,,,,,,,
OZK,,,,,,,,
PAYX,,,,,,,,
PII,,,,,,,,
RHI,,,,,,,,
SON,,,,,,,,
SRCE,,,,,,,,
STBA,,,,,,,,
SWM,,,,,,,,
SYBT,,,,,,,,
UPS,,,,,,,,
VIAC,,,,,,,,
VLO,,,,,,,,
WBS,,,,,,,,
WHR,,,,,,,,
VRSK,,,,,,,,
ICE,,,,,,,,
INTU,,,,,,,,
TCEHY,,,,,,,,
IWM,,,,,,,,
SPY,,,,,,,,
AJG,,,,,,,,
BPRN,,,,,,,,
NSC,,,,,,,,
OFG,,,,,,,,
RBCAA,,,,,,,,
UTL,,,,,,,,
CATC,,,,,,,,
CPKF,,,,,,,,
GLP,,,,,,,,
SFNC,,,,,,,,
SSBI,,,,,,,,
WAFD,,,,,,,,
WMB,,,,,,,,
XOM,,,,,,,,
YUM,,,,,,,,
XEL,,,,,,,,
WMT,,,,,,,,
VYM,,,,,,,,
VOT,,,,,,,,
VLU,,,,,,,,
VIG,,,,,,,,
VHT,,,,,,,,
VFC,,,,,,,,
VCLT,,,,,,,,
UNP,,,,,,,,
UNM,,,,,,,,
UMBF,,,,,,,,
UHT,,,,,,,,
TTC,,,,,,,,
TRV,,,,,,,,
TROW,,,,,,,,
TRN,,,,,,,,
THG,,,,,,,,
TGT,,,,,,,,
SYY,,,,,,,,
SYK,,,,,,,,
SUI,,,,,,,,
STT,,,,,,,,
SJM,,,,,,,,
SJI,,,,,,,,
SDY,,,,,,,,
SBUX,,,,,,,,
RTX,,,,,,,,
RS,,,,,,,,
ROK,,,,,,,,
REXR,,,,,,,,
QTS,,,,,,,,
QCOM,,,,,,,,
PSB,,,,,,,,
PSA,,,,,,,,
POOL,,,,,,,,
PLD,,,,,,,,
PG,,,,,,,,
PDM,,,,,,,,
PCI,,,,,,,,
PCH,,,,,,,,
OTEX,,,,,,,,
NXRT,,,,,,,,
NUE,,,,,,,,
NKE,,,,,,,,
NEE,,,,,,,,
NDAQ,,,,,,,,
MTB,,,,,,,,
MORN,,,,,,,,
MO,,,,,,,,
MLM,,,,,,,,
MKC,,,,,,,,
MGEE,,,,,,,,
MDU,,,,,,,,
MDT,,,,,,,,
MCD,,,,,,,,
MA,,,,,,,,
LOW,,,,,,,,
LLY,,,,,,,,
LII,,,,,,,,
JNJ,,,,,,,,
INTC,,,,,,,,
IBM,,,,,,,,
HTD,,,,,,,,
HSY,,,,,,,,
HPQ,,,,,,,,
HON,,,,,,,,
HI,,,,,,,,
HAS,,,,,,,,
GIS,,,,,,,,
GGG,,,,,,,,
GD,,,,,,,,
GBX,,,,,,,,
FRT,,,,,,,,
FR,,,,,,,,
EXPO,,,,,,,,
ETN,,,,,,,,
ES,,,,,,,,
